fps,frametime,elapsed
37.9991,26.3164,1096456766211
35.0953,28.4939,1096556872138
39.4852,25.3259,1096656981382
35.4098,28.2408,1096757076448
39.0626,25.5999,1096857177176
39.3925,25.3856,1096957440138
36.2061,27.6196,1097057549231
38.8651,25.73,1097157649728
37.8668,26.4083,1097257750385
42.6855,23.4272,1097357947143
40.3452,24.7861,1097458040887
37.4613,26.6942,1097558155331
40.6872,24.5777,1097658266578
37.1748,26.8999,1097758694008
38.5857,25.9163,1097858796038
36.1126,27.6912,1097958905141
29.1232,34.3369,1098059016258
36.7763,27.1914,1098159083292
37.4708,26.6875,1098259191754
39.155,25.5395,1098359320855
34.7613,28.7676,1098459692601
40.2205,24.863,1098559804770
37.4348,26.7131,1098660055018
37.1486,26.9189,1098760164452
38.182,26.1903,1098860273795
42.4839,23.5383,1098960464973
38.4937,25.9783,1099060758101
38.7121,25.8317,1099160969987
38.6962,25.8424,1099261087596
38.5843,25.9173,1099361324569
37.7679,26.4775,1099462087399
31.5134,31.7325,1099562200479
36.695,27.2517,1099662331524
36.3043,27.545,1099762506059
37.664,26.5505,1099862631674
36.0959,27.704,1099962749062
38.9138,25.6978,1100062867553
35.0326,28.5449,1100162982998
36.413,27.4627,1100263111217
37.8918,26.3909,1100363236040
40.5804,24.6424,1100463347488
30.6183,32.6602,1100563464205
38.1757,26.1947,1100663575603
38.543,25.945,1100763686299
36.5471,27.362,1100863784331
35.381,28.2637,1100963886892
37.0674,26.9779,1101064013799
37.7831,26.4668,1101164091132
38.9602,25.6672,1101264202189
34.5047,28.9816,1101364305351
34.3384,29.1219,1101465102976
31.8168,31.43,1101565216167
39.1568,25.5383,1101665326562
37.0134,27.0173,1101765429204
28.6678,34.8824,1101865527717
33.1404,30.1746,1101965637040
31.7222,31.5237,1102065746504
29.6171,33.7643,1102166938739
32.4886,30.78,1102267055677
32.7976,30.4901,1102367169880
32.9334,30.3644,1102467282029
36.6502,27.285,1102567387816
36.4842,27.4091,1102667528689
35.1193,28.4744,1102767627402
34.207,29.2338,1102867716999
31.5353,31.7105,1102967809501
36.7501,27.2108,1103067902133
33.0685,30.2403,1103167993764
39.0645,25.5987,1103268137412
35.6068,28.0845,1103368298903
41.608,24.0338,1103468416031
37.5068,26.6618,1103568516498
37.8262,26.4367,1103668617306
40.6445,24.6036,1103768715839
35.07,28.5144,1103868816417
38.187,26.1869,1103970091517
36.733,27.2235,1104070205589
36.54,27.3672,1104170304994
39.729,25.1705,1104270402827
38.8895,25.7139,1104370501771
39.5473,25.2862,1104470606936
39.8987,25.0635,1104572314127
33.5417,29.8136,1104672410256
37.5868,26.6051,1104772547693
37.1945,26.8857,1104872664671
40.7717,24.5268,1104972763404
40.1841,24.8855,1105072859563
39.2599,25.4713,1105172966953
31.9466,31.3022,1105273067681
38.1482,26.2136,1105373169791
40.9089,24.4446,1105473268825
38.3065,26.1052,1105573371897
37.8572,26.415,1105673466984
37.5247,26.6491,1105773560097
32.2159,31.0405,1105873672486
35.2934,28.3339,1105973778243
34.3615,29.1024,1106073885042
35.8867,27.8655,1106173995358
36.8744,27.1191,1106274258871
35.5078,28.1628,1106374371651
34.7593,28.7693,1106474479682
36.7102,27.2404,1106574590638
39.0918,25.5808,1106674698439
40.3987,24.7533,1106775152359
34.7203,28.8016,1106875266452
39.3214,25.4314,1106975369273
37.2004,26.8815,1107075470041
38.3075,26.1046,1107175575187
40.1943,24.8791,1107275674762
37.3325,26.7863,1107376166703
36.028,27.7562,1107476281798
31.8216,31.4252,1107576485508
38.4396,26.0148,1107676600162
37.3037,26.807,1107776720256
37.9876,26.3244,1107876835250
37.9045,26.3821,1107976946016
32.9478,30.3511,1108077071029
34.9613,28.6031,1108177180894
39.1969,25.5122,1108277295668
38.2174,26.1661,1108377405222
34.9475,28.6143,1108477509807
32.7538,30.5308,1108577615704
33.7227,29.6536,1108677929601
32.6373,30.6398,1108778029136
33.6337,29.7321,1108878147256
36.891,27.1069,1108978287508
35.6902,28.0189,1109078480749
40.2255,24.8599,1109178601304
38.5601,25.9336,1109278725605
36.9173,27.0876,1109378854526
37.9525,26.3487,1109478954071
39.2346,25.4877,1109579071239
38.0594,26.2747,1109679216841
40.2358,24.8535,1109779360900
37.7446,26.4938,1109879492515
37.5909,26.6022,1109979594615
41.5977,24.0398,1110079729727
35.3868,28.2591,1110179827149
36.4947,27.4012,1110279944167
41.4367,24.1332,1110380005490
36.1505,27.6621,1110480148046
32.4655,30.8019,1110580260225
35.7347,27.984,1110680384096
37.3346,26.7848,1110780489422
35.469,28.1936,1110880593075
38.8286,25.7542,1110980697109
34.8743,28.6744,1111080828945
38.9067,25.7025,1111182466094
38.9271,25.6891,1111282576890
37.6004,26.5954,1111382693658
38.0574,26.2761,1111482894664
33.0833,30.2267,1111583054502
33.6491,29.7184,1111683169456
37.8752,26.4025,1111783277347
38.455,26.0044,1111883377353
39.8289,25.1074,1111983495012
35.248,28.3704,1112083597353
35.863,27.8839,1112183698201
35.1818,28.4238,1112283915086
36.5612,27.3514,1112384017978
41.9919,23.8141,1112484246104
29.9843,33.3508,1112586146417
35.0037,28.5684,1112686245371
37.8118,26.4468,1112786340027
33.829,29.5604,1112886435164
35.6051,28.0859,1112986530071
31.3268,31.9215,1113086631410
36.1024,27.699,1113186745021
35.7925,27.9388,1113286843855
35.617,28.0765,1113386940936
38.5688,25.9277,1113487046262
34.1686,29.2666,1113587108567
37.6176,26.5833,1113687208413
39.9473,25.033,1113787308510
35.1833,28.4226,1113887404167
36.8883,27.1088,1113987504995
32.9931,30.3093,1114087606594
36.5121,27.3882,1114187706230
34.057,29.3625,1114287805965
38.6464,25.8756,1114387910620
32.0703,31.1815,1114488009745
31.6628,31.5828,1114588121142
39.7364,25.1658,1114688212723
38.96,25.6673,1114788309432
40.4108,24.7459,1114888402195
39.5186,25.3046,1114988506870
35.1006,28.4895,1115088610433
37.9856,26.3258,1115188721189
34.5424,28.9499,1115288819792
37.0817,26.9675,1115388936680
36.1302,27.6777,1115489039502
37.1642,26.9076,1115589119811
39.6592,25.2149,1115689226570
41.5853,24.047,1115789330243
34.9325,28.6266,1115889424278
41.0766,24.3448,1115989523412
32.6874,30.5928,1116089747822
38.2757,26.1262,1116189997869
36.6203,27.3073,1116290603794
36.3483,27.5116,1116390703931
33.931,29.4715,1116490799218
32.5938,30.6807,1116590894115
34.9339,28.6255,1116690995573
38.0313,26.2942,1116791098625
35.9822,27.7915,1116891208881
35.8387,27.9028,1116991356696
36.5621,27.3507,1117091640087
37.9074,26.3801,1117191742177
37.8591,26.4137,1117291854406
36.6142,27.3118,1117391963148
38.7471,25.8084,1117492096096
32.7398,30.5439,1117592252899
35.8975,27.8571,1117692444988
37.1338,26.9297,1117792547128
40.1135,24.9293,1117892653436
35.1926,28.4151,1117992769612
36.9354,27.0743,1118092881270
38.4546,26.0047,1118192992567
38.5312,25.953,1118293099436
38.1503,26.2121,1118393228808
32.5481,30.7237,1118493342329
34.0199,29.3945,1118593452354
37.4607,26.6946,1118693557590
40.3905,24.7583,1118793669118
35.5846,28.1021,1118893776909
36.6904,27.2551,1118993886422
35.4989,28.1699,1119093978624
35.8496,27.8943,1119194093678
38.3915,26.0474,1119294213462
36.8044,27.1707,1119394331932
36.7885,27.1824,1119494441587
32.4687,30.7989,1119594571970
37.4166,26.7261,1119694678728
38.6583,25.8677,1119794823879
37.7388,26.4979,1119894934235
39.228,25.492,1119995078474
36.8652,27.1258,1120095226921
22.7038,44.0455,1120196303499
32.0811,31.171,1120296441697
27.3972,36.5,1120396548345
33.0616,30.2466,1120496662889
32.6249,30.6515,1120596792450
